cellCode,lme_id,lme_name
10kmE435N466,53,Norwegian Sea
10kmE435N467,53,Norwegian Sea
10kmE435N468,53,Norwegian Sea
10kmE435N469,53,Norwegian Sea
10kmE435N470,53,Norwegian Sea
10kmE435N471,53,Norwegian Sea
10kmE435N472,53,Norwegian Sea
10kmE435N473,53,Norwegian Sea
10kmE435N474,53,Norwegian Sea
10kmE435N475,53,Norwegian Sea
10kmE435N476,53,Norwegian Sea
10kmE435N477,53,Norwegian Sea
10kmE435N478,53,Norwegian Sea
10kmE435N479,53,Norwegian Sea
10kmE435N480,53,Norwegian Sea
10kmE435N481,53,Norwegian Sea
10kmE435N482,53,Norwegian Sea
10kmE435N483,53,Norwegian Sea
10kmE435N484,53,Norwegian Sea
10kmE435N485,53,Norwegian Sea
10kmE435N486,53,Norwegian Sea
10kmE435N487,53,Norwegian Sea
10kmE435N488,53,Norwegian Sea
10kmE435N489,53,Norwegian Sea
10kmE435N490,53,Norwegian Sea
10kmE435N491,53,Norwegian Sea
10kmE435N492,53,Norwegian Sea
10kmE435N493,53,Norwegian Sea
10kmE435N494,53,Norwegian Sea
10kmE435N495,53,Norwegian Sea
10kmE435N496,53,Norwegian Sea
10kmE435N497,53,Norwegian Sea
10kmE435N498,53,Norwegian Sea
10kmE435N499,53,Norwegian Sea
10kmE435N500,53,Norwegian Sea
10kmE435N501,53,Norwegian Sea
10kmE435N502,53,Norwegian Sea
10kmE435N503,53,Norwegian Sea
10kmE435N504,53,Norwegian Sea
10kmE435N505,53,Norwegian Sea
10kmE435N506,53,Norwegian Sea
10kmE435N507,53,Norwegian Sea
10kmE435N508,53,Norwegian Sea
10kmE435N509,53,Norwegian Sea
10kmE435N510,53,Norwegian Sea
10kmE435N511,53,Norwegian Sea
10kmE435N512,53,Norwegian Sea
10kmE435N513,53,Norwegian Sea
10kmE435N514,53,Norwegian Sea
10kmE435N515,53,Norwegian Sea
10kmE435N516,53,Norwegian Sea
10kmE435N517,53,Norwegian Sea
10kmE435N518,53,Norwegian Sea
10kmE435N519,53,Norwegian Sea
10kmE435N520,53,Norwegian Sea
10kmE435N521,53,Norwegian Sea
10kmE435N522,53,Norwegian Sea
10kmE435N523,53,Norwegian Sea
10kmE435N524,53,Norwegian Sea
10kmE435N525,53,Norwegian Sea
10kmE435N526,53,Norwegian Sea
10kmE435N527,53,Norwegian Sea
10kmE435N528,53,Norwegian Sea
10kmE435N529,53,Norwegian Sea
10kmE435N530,53,Norwegian Sea
10kmE435N531,53,Norwegian Sea
10kmE435N532,53,Norwegian Sea
10kmE435N533,53,Norwegian Sea
10kmE435N534,53,Norwegian Sea
10kmE435N535,53,Norwegian Sea
10kmE435N536,53,Norwegian Sea
10kmE435N537,53,Norwegian Sea
